filename	url	retrieved_utc	bytes	sha256
chirps-v2.0.2010.tif	https://data.chc.ucsb.edu/products/CHIRPS-2.0/global_annual/tifs/chirps-v2.0.2010.tif	2026-06-11T17:50:42Z	57616550	8ff84f24683b7ad3c94667e3e6ea3edff58a00925ef1e47c36231b226fbdc6e9
chirps-v2.0.2011.tif	https://data.chc.ucsb.edu/products/CHIRPS-2.0/global_annual/tifs/chirps-v2.0.2011.tif	2026-06-11T17:50:48Z	57616550	9e6374b3a501cddff6e15f531a7673415ca67243d93684a7003661cda8e112d7
chirps-v2.0.2012.tif	https://data.chc.ucsb.edu/products/CHIRPS-2.0/global_annual/tifs/chirps-v2.0.2012.tif	2026-06-11T17:50:55Z	57616550	5f92f835efb0472016d830c9f0c53fe92f5d02cc55ff3e98a5009aa7b7e7bb00
chirps-v2.0.2013.tif	https://data.chc.ucsb.edu/products/CHIRPS-2.0/global_annual/tifs/chirps-v2.0.2013.tif	2026-06-11T17:51:00Z	57616550	9213a02ecc88bb7120036b97fd2862195cae0625e60eeb3fa679784306914c86
chirps-v2.0.2014.tif	https://data.chc.ucsb.edu/products/CHIRPS-2.0/global_annual/tifs/chirps-v2.0.2014.tif	2026-06-11T17:51:09Z	57616550	8189a22093465615ab023a70262d248c5ebc3be128ff8c5db2108537246022c2
chirps-v2.0.2015.tif	https://data.chc.ucsb.edu/products/CHIRPS-2.0/global_annual/tifs/chirps-v2.0.2015.tif	2026-06-11T17:51:18Z	57616586	fadbaf33e873e867040e311357a106b5ef2322a853c85b67d93eefa22dbb8d69
chirps-v2.0.2016.tif	https://data.chc.ucsb.edu/products/CHIRPS-2.0/global_annual/tifs/chirps-v2.0.2016.tif	2026-06-11T17:51:27Z	57616586	410527254af77d187831568b3a161a1dc343a7f5bd8ca3c17753597fe0b5d03b
chirps-v2.0.2017.tif	https://data.chc.ucsb.edu/products/CHIRPS-2.0/global_annual/tifs/chirps-v2.0.2017.tif	2026-06-11T17:51:33Z	57616588	c2d241a6a94b40f33d02f49c6eda6eedcb3db4c4df0a87668b3152049314c25f
chirps-v2.0.2018.tif	https://data.chc.ucsb.edu/products/CHIRPS-2.0/global_annual/tifs/chirps-v2.0.2018.tif	2026-06-11T17:51:39Z	57616544	cb6b0b8e41e75ec235d10db179e012344db448fc411c147965090f66aec43764
chirps-v2.0.2019.tif	https://data.chc.ucsb.edu/products/CHIRPS-2.0/global_annual/tifs/chirps-v2.0.2019.tif	2026-06-11T17:51:47Z	57616588	71f40e6fde787ed57174cf0e32b2ac28f38617fe0d384d38447557a10e2bdddd
chirps-v2.0.2020.tif	https://data.chc.ucsb.edu/products/CHIRPS-2.0/global_annual/tifs/chirps-v2.0.2020.tif	2026-06-11T17:51:47Z	57616544	7ebad0a3758a57ba0f8bcee65aa2f2c6d4ca1e701bb16c19263dc10858184e38
chirps-v2.0.2021.tif	https://data.chc.ucsb.edu/products/CHIRPS-2.0/global_annual/tifs/chirps-v2.0.2021.tif	2026-06-11T17:51:54Z	57616544	d0f9c1982f66d4b5002c25f3f4fe90359f06df12e1f4755aaa0294a6fb1af69b
chirps-v2.0.2022.tif	https://data.chc.ucsb.edu/products/CHIRPS-2.0/global_annual/tifs/chirps-v2.0.2022.tif	2026-06-11T17:52:03Z	57616544	ce97bd0697f5862e168b24269ee3cfaa9cff81d7c3ffa2a3e5ddd22966900b14
chirps-v2.0.2023.tif	https://data.chc.ucsb.edu/products/CHIRPS-2.0/global_annual/tifs/chirps-v2.0.2023.tif	2026-06-11T17:52:10Z	57612546	7e0943e382993e3a6cbb6e1e1caaa8757a989c5852f932e94f93d9445a58f6b0
chirps-v2.0.2024.tif	https://data.chc.ucsb.edu/products/CHIRPS-2.0/global_annual/tifs/chirps-v2.0.2024.tif	2026-06-11T17:52:16Z	57612546	c6dd23b746c847e9069d5b351be5f88267d6d4bb77d8b1d63c0e8ba598aadea9
